text,labels
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1cc(F)ccc1CNC(=O)c1nc(Br)c2c(nccc2)c1O.c1(O)ccc2c(c1)Oc1c(ccc(O)c1)C21c2c(cccc2)C(=O)O1>>c1cc(F)ccc1CNC(=O)c1c(O)c2c(cccn2)c(N2CCCCC2)n1,0.0067899909999999
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1(C)cc(C#N)cc(C)c1Oc1c(Br)c(N)nc(Nc2ccc(C#N)cc2)n1.F[P-](F)(F)(F)(F)F.CC(C)(C)c1cc(ncc1)-c2cc(ccn2)C(C)(C)C.n1c(-c2ccccc2[Ir]c3c(-c4ncccc4)cccc3)cccc1>>c1(C)cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1N1CCCCC1,0.020145328
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.n1(CC)c(=O)c2c(nc(N[C@H]3[C@H](O)CCC3)n2Cc2cc(Br)c(OC)cc2)n(CCO)c1=O.[Cl-].FC(F)(F)c1cc(-c2c3ccccc3[n+](-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3c2cccc3)cc(C(F)(F)F)c1>>C1CCCCN1c1cc(Cn2c(N[C@H]3[C@H](O)CCC3)nc3n(CCO)c(=O)n(CC)c(=O)c23)ccc1OC,0.0
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.n1(CC)c(=O)c2c(nc(N[C@H]3[C@H](O)CCC3)n2Cc2cc(Br)c(OC)cc2)n(CCO)c1=O.c1cnc(-c2c(cccc2)[Ir](c3c(cccc3)-c4ccccn4)c5c(cccc5)-c6ccccn6)cc1>>C1CCCCN1c1cc(Cn2c(N[C@H]3[C@H](O)CCC3)nc3n(CCO)c(=O)n(CC)c(=O)c23)ccc1OC,0.042077694
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1(O)ccc2c(c1)Oc1c(ccc(O)c1)C21c2c(cccc2)C(=O)O1.C1CC(Oc2cc(F)ccc2Br)CCN1c1cc(-c2nn(CC(=O)O)nn2)on1>>C1CN(c2c(OC3CCN(c4cc(-c5nn(CC(=O)O)nn5)on4)CC3)cc(F)cc2)CCC1,0.0
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.CC(C)(C)OC(N1CCC2(CC1)c1cc(Cl)c(C)cc1[C@H](C(C)(C)NC(=O)C)C2)=O.[Cl-].FC(F)(F)c1cc(-c2c3ccccc3[n+](-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3c2cccc3)cc(C(F)(F)F)c1>>CC(C)(C)OC(N1CCC2(CC1)c1cc(N3CCCCC3)c(C)cc1[C@H](C(C)(C)NC(=O)C)C2)=O,0.0
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.CC(C)(C)Sc1c(CC(C)(C)C(=O)OC)n(Cc2ccc(Cl)cc2)c2c1cc(OCc1ccc3c(cccc3)n1)cc2.F[P-](F)(F)(F)(F)F.CC(C)(C)c1cc(ncc1)-c2cc(ccn2)C(C)(C)C.FC(F)(F)c1cnc(cc1)-c2c(cc(cc2F)F)[Ir]c3c(c(cc(F)c3)F)-c4ncc(C(F)(F)F)cc4>>CC(C)(C)Sc1c(CC(C)(C)C(=O)OC)n(Cc2ccc(N3CCCCC3)cc2)c2c1cc(OCc1ccc3c(cccc3)n1)cc2,0.006476899
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1cc(Cl)ccc1Cn1c2c(c3c1c(Br)cc(F)c3)CC[C@@H]2CC(O)=O.[Cl-].FC(F)(F)c1cc(-c2c3ccccc3[n+](-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3c2cccc3)cc(C(F)(F)F)c1>>c1cc(Cl)ccc1Cn1c2c(c3c1[C@@H](CC(O)=O)CC3)cc(F)cc2N1CCCCC1,0.0
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.[nH]1c2c3n(c(=O)c1=O)C(CC(=O)OC)CCc3cc(Br)c2.F[P-](F)(F)(F)(F)F.CC(C)(C)c1cc(ncc1)-c2cc(ccn2)C(C)(C)C.n1c(-c2ccccc2[Ir]c3c(-c4ncccc4)cccc3)cccc1>>C1CN(c2cc3c4n(c(=O)c(=O)[nH]c4c2)C(CC(OC)=O)CC3)CCC1,0.0
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1cc(COC(=O)N2CCC[C@@H]2C(c2c[nH]c3ccc(Br)cc23)=O)ccc1.F[P-](F)(F)(F)(F)F.CC(C)(C)c1cc(ncc1)-c2cc(ccn2)C(C)(C)C.n1c(-c2ccccc2[Ir]c3c(-c4ncccc4)cccc3)cccc1>>c1cc(COC(=O)N2CCC[C@@H]2C(c2c[nH]c3ccc(N4CCCCC4)cc23)=O)ccc1,0.1099336049999999
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1cc(F)ccc1CNC(=O)c1nc(Br)c2c(nccc2)c1O.[Cl-].FC(F)(F)c1cc(-c2c3ccccc3[n+](-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3c2cccc3)cc(C(F)(F)F)c1>>c1cc(F)ccc1CNC(=O)c1c(O)c2c(cccn2)c(N2CCCCC2)n1,0.01231822
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.CC(C)(C)OC(N1[C@H](C(OC)=O)C[C@@H](OC(N2Cc3c(Br)ccc(F)c3C2)=O)C1)=O.[Ru].F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.c1cccc(-c2ccccn2)n1.c1cccc(-c2ccccn2)n1.c1cccc(-c2ccccn2)n1>>CC(C)(C)OC(N1[C@H](C(OC)=O)C[C@@H](OC(N2Cc3c(F)ccc(N4CCCCC4)c3C2)=O)C1)=O,0.54805496
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1cc(C#N)c2ccccc2c1C#N.n1c(C(OCC)=O)c2n(c1)-c1c(cc(Br)cc1)C(=O)N(C)C2>>C1CCCCN1c1cc2c(cc1)-n1cnc(C(=O)OCC)c1CN(C)C2=O,0.0
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.n1c(C(OCC)=O)c2n(c1)-c1c(cc(Br)cc1)C(=O)N(C)C2.F[B-](F)(F)F.c1ccccc1-c1cc(-c2ccccc2)cc(-c2ccccc2)[o+]1>>C1CCCCN1c1cc2c(cc1)-n1cnc(C(=O)OCC)c1CN(C)C2=O,0.0
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1(O)ccc2c(c1)Oc1c(ccc(O)c1)C21c2c(cccc2)C(=O)O1.c1cc(Cl)ccc1Cn1c2c(c3c1c(Br)cc(F)c3)CC[C@@H]2CC(O)=O>>c1cc(Cl)ccc1Cn1c2c(c3c1[C@@H](CC(O)=O)CC3)cc(F)cc2N1CCCCC1,0.0
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.n1c(C(OCC)=O)c2n(c1)-c1c(cc(Br)cc1)C(=O)N(C)C2.F[P-](F)(F)(F)(F)F.CC(C)(C)c1cc(ncc1)-c2cc(ccn2)C(C)(C)C.FC(F)(F)c1cnc(cc1)-c2c(cc(cc2F)F)[Ir]c3c(c(cc(F)c3)F)-c4ncc(C(F)(F)F)cc4>>C1CCCCN1c1cc2c(cc1)-n1cnc(C(=O)OCC)c1CN(C)C2=O,0.6049081000000001
CS(C)=O.C1CCCCN1.C1CN2CCN1CC2.C(COC)OC.Cl[Ni]Cl.c1ccccc1N1C2C=CC=CC2Sc2ccccc21.[nH]1c2c3n(c(=O)c1=O)C(CC(=O)OC)CCc3cc(Br)c2>>C1CN(c2cc3c4n(c(=O)c(=O)[nH]c4c2)C(CC(OC)=O)CC3)CCC1,0.0
